FID,depno,distrito_minero,nombres,modelo,cod_modelo,tamaño,edad_inf_min,edad_sup_min,estilo_min,asoc_min,alt_hidrotermal,unid_estrati_caja,lito_caja,edad_inf_caja,edad_sup_caja,recursos_min,ley_min,commodity,ficha,etiqueta,geometry
e250K.DepositMetalif.17684,329,La Punilla,La Punilla,07b Au baja sulfuración (Adularia) (Au-Ag),7b,,,,vetiforme,oro nativo | galena argentífera | tetraedrita | malaquita,,Formación Punilla,arenisca,,,"96300 tonelada métrica, mena, recurso totales",Au 8.5 g/t promedio | Ag 69.5 g/t promedio,Au | Ag,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp329.html,La Punilla,POINT (-69.0243999999999 -29.824999999999932)
e250K.DepositMetalif.17157,2030,,María Jesus,09e Formación Ferrífera Fe(P),9e,ocurrencia,,,horizontes ferríferos,hematita | chamosita,,Formación Lipeón,"limolitas, grauvacas",,,,,Fe,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp2030.html,María Jesus,POINT (-64.72969999999992 -22.413899999999956)
e250K.DepositMetalif.20374,24365,,Cordillera | María Angélica,14e Antimonita (Sb),14e,pequeño,Ordovícico,Ordovícico,vetas de cuarzo,antimonita | esfalerita | pirita | arsenopirita,silicificación | sericitización | argilización,Complejo Turbidítico de la Puna,Pelitas y areniscas,,,,,Sb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24365.html,Cordillera ,POINT (-66.86529999999993 -23.098299999999938)
e250K.DepositMetalif.17335,2208,,Belcha,07a Manganeso (Mn+-F),7a,ocurrencia,,,vetiforme,criptomelano | groutita | ramsdellita | todorokita | litioforita | pirolusita | oro,sericítica y argílica ,Complejo Marifil,ignimbrita,,,,,Mn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp2208.html,Belcha,POINT (-66.14999999999992 -42.24999999999994)
e250K.DepositMetalif.18095,3299,,Chile,11a Cu tipo Manto,11a,desconocida,,,vetas,,,Formación La Manga,,,,,,Cu,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3299.html,Chile,POINT (-70.2666999999999 -34.93329999999992)
e250K.DepositMetalif.18273,3375,Lago Futalaufquen,Cordón Situación,07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,desconocida,Terciario,Terciario,diseminada,pirita | calcopirita | galena | esfalerita,propilítica | silicificación | argílica | pirítica,Formación Ventana | Granodiorita Lago Menéndez,rocas volcánicas intermedias | suite granodiorítica-tonalítica,,,,,Cu | Pb | Zn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3375.html,Cordón Situación,POINT (-71.6332999999999 -43.03329999999994)
e250K.DepositMetalif.18451,5075,Río Guzmán,El Duraznito,08f Volcanogénico (W),8f,ocurrencia,,,vetiforme,scheelita | wolframita | esfalerita | bismutina | calcopirita | oro,turmalinización,Formación San Luis,filitas | vetas de cuarzo-turmalina | vetas de cuarzo,,,,WO3 0.7 % (máximo),W-Bi,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5075.html,El Duraznito,POINT (-65.91669999999993 -32.93329999999992)
e250K.DepositMetalif.17746,390,,Yaraví o Joaquín V. González,07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,,,,vetiforme,galena | limonitas,,Formación La Manga,caliza,,,,,Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp390.html,Yaraví o Joaquín V. González,POINT (-69.93329999999992 -35.51669999999996)
e250K.DepositMetalif.20963,24559,Amarillo Grande,Ivana (VIII-F),09b U-Cu en areniscas (U-V-Cu-Ag),9b,,,,U-V-(Cu) en areniscas | roll-front,carnotita | uraninita | coffinita,decoloración | oxidación,,arena-grava,,,,,U,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24559.html,Ivana ,POINT (-66.16329999999994 -40.42709999999994)
e250K.DepositMetalif.18444,5059,La Teodolina,La Teodolina/Mina del Valle,08f Volcanogénico (W),8f,pequeño,,,diseminada,scheelita | arsenopirita | pirita,,Formación San Luis,esquistos cuarzo-micáceos,,,"14000 tonelada métrica, mineral, inferida",WO3 2.44 % (máximo),W,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5059.html,La Teodolina,POINT (-65.96669999999995 -32.94999999999993)
